cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
100,Johnson City,576081,47,Tennessee,TN,81.803154,82.236778,84.030312,84.421387,86.322166,86.651878,87.82888,88.09465,75.476265,75.968956,80.273422,80.704201,83.009087,83.381584,84.409355,84.76358,.21988504,.22039665,.26781741,.26876533,.33145031,.32320762,.42964709,.4119603,.17251343,.18462676,.21300034,.22266239,.28413329,.28036031,.448818,.43209305,469268,448883,364376,202619,446528,456216,341333,187282
200,Morristown,227816,47,Tennessee,TN,81.326363,81.764053,83.956436,84.343384,84.872223,85.250847,88.110596,88.289772,74.956512,75.419853,80.144463,80.550888,82.094635,82.469414,84.141571,84.473213,.32878712,.32323396,.40259421,.39285645,.52652311,.50851542,.61237186,.58806545,.25765988,.26300567,.32418236,.32653412,.45865956,.44109261,.73300606,.70861793,233428,199116,151926,72675,215500,202248,142344,66137
301,Middlesborough,66708,47,Tennessee,TN,82.440483,82.890648,85.683884,85.949814,85.750008,86.093452,86.434357,86.47567,75.580559,76.098907,80.749657,81.105942,83.154846,83.543991,86.844643,86.922371,.6701982,.64388371,.88903588,.85329312,1.260725,1.1996924,1.9293667,1.8892825,.49379346,.49465597,.7385785,.72122091,1.2114443,1.1732529,1.8186839,1.7747378,59222,42529,25973,9897,59211,43418,24552,9062
302,Knoxville,727600,47,Tennessee,TN,80.880814,81.411613,83.724632,84.124176,85.699905,86.081345,88.330414,88.530319,74.505943,75.08934,79.544472,79.983749,83.133629,83.535843,85.453163,85.72937,.21875656,.22075833,.25042328,.24366178,.29195234,.2842178,.28850928,.27830565,.17703229,.19277418,.21496688,.21778528,.25690353,.25698784,.28773499,.28270143,505662,511618,487133,419858,466740,485002,472548,397129
401,Winston-Salem,493180,37,North Carolina,NC,81.29409,82.032745,84.224304,84.751465,85.669189,86.107285,86.874992,87.214569,75.125519,75.910576,79.74131,80.330276,82.336601,82.832664,85.61615,85.945572,.27834147,.26928753,.29494223,.28624329,.32341936,.31283975,.42912832,.41421974,.22307007,.23189858,.25865951,.26052967,.31687829,.3122052,.37295499,.36129332,353513,380424,373239,303196,316688,345396,347951,281565
402,Martinsville,92753,51,Virginia,VA,82.299667,83.158401,85.154892,85.643509,86.130531,86.697464,85.243446,85.713409,74.687737,75.743217,82.14489,82.684021,82.431511,83.081902,83.243187,83.726303,.52699554,.5095498,.5755493,.55024165,.81999093,.77489775,1.3779817,1.3246723,.39511287,.40082237,.53270376,.5176006,.68367934,.66303521,1.1742879,1.1410085,89396,74119,52717,22792,82853,72945,47929,20207
500,Greensboro,1055133,37,North Carolina,NC,81.492355,82.368538,84.174362,84.737312,85.823166,86.265373,87.680077,87.96936,75.147202,76.112083,79.143562,79.780579,82.416275,82.90731,85.043098,85.389442,.19652547,.20057492,.21327998,.20738125,.23880486,.23141603,.29255748,.28240678,.15385203,.17211488,.18652882,.1905064,.23095232,.23069228,.2941474,.2862024,775588,764372,699105,524033,695228,721452,660778,485007
601,North Wilkesboro,90016,37,North Carolina,NC,83.356812,83.710175,84.687782,85.09481,86.640327,86.918228,86.649422,87.039001,76.810455,77.235046,80.486969,80.949142,82.343246,82.738152,84.148056,84.524254,.52436727,.50234348,.67048025,.63874376,.89448148,.85032833,1.281442,1.2126417,.44071686,.43616396,.5984388,.58566326,.83743727,.81497318,1.0182854,.98021805,79038,72700,51842,27287,79581,73665,47086,24426
602,Galax,64676,51,Virginia,VA,82.203163,82.625916,84.880333,85.239449,87.635635,87.881416,89.186638,89.373894,77.35186,77.784325,80.106018,80.552711,83.183044,83.565536,84.979385,85.333481,.62750185,.60311419,.77670151,.73762023,.88240004,.83839351,1.0823292,1.0199031,.52223772,.51486039,.6555751,.64397764,1.0013139,.9674471,1.4937302,1.4237363,55199,49665,34643,12547,56077,52031,30865,10837
700,Spartanburg,354533,45,South Carolina,SC,81.381172,82.255867,83.923584,84.498672,85.502129,85.891869,88.083511,88.344147,73.705917,74.685555,79.190536,79.841705,81.773354,82.209328,84.271461,84.618057,.30215645,.29754901,.35288587,.34040061,.41674626,.40068519,.48957831,.46736369,.22691679,.23934411,.29537457,.29047236,.39028019,.38278419,.52420038,.50884986,276821,250094,215516,143106,246079,252571,207870,132603
800,Gastonia,413331,37,North Carolina,NC,80.419579,81.250008,83.723511,84.166054,85.417046,85.766617,87.33075,87.667389,74.151581,75.019791,78.917519,79.40258,81.229485,81.645409,84.568756,84.945648,.29700181,.2938073,.32262743,.31260085,.38835558,.37688813,.49345484,.46888366,.21231686,.22406927,.26810753,.26945153,.34495077,.34265709,.4548361,.43853766,320964,311054,285278,177507,285392,318219,278434,164277
900,Charlotte,1423942,37,North Carolina,NC,81.44075,82.327843,84.195503,84.709335,85.729263,86.076332,87.554039,87.803978,75.273163,76.238579,79.332672,79.914413,82.330093,82.737312,84.964363,85.266724,.1755884,.18243727,.1983501,.19528951,.21730667,.21328019,.22626184,.21995385,.13957006,.15603629,.17737551,.18307389,.19319852,.19270438,.21468222,.21043943,998780,1026849,993688,1071960,884986,937699,951334,1059020
1001,Boone,77361,37,North Carolina,NC,83.078148,83.41571,85.058708,85.382088,88.22464,88.478333,87.546623,87.917839,77.526474,77.946129,82.428581,82.77787,85.33252,85.613762,85.417786,85.771049,.63589728,.61389101,.82270443,.78645855,.847969,.80216193,1.3157761,1.2434025,.55473661,.55189782,.66960168,.64508146,.82075083,.78528887,1.1092438,1.066048,54926,52327,41336,28704,55970,50754,36315,25706
1002,Morganton,164760,37,North Carolina,NC,81.618843,82.070564,84.076416,84.489288,86.102798,86.46727,87.352203,87.646896,75.476555,75.960503,79.803139,80.269341,82.734314,83.117195,84.780518,85.113167,.4616119,.44557011,.52196318,.50089449,.69110096,.65938443,.95222187,.90107971,.33374929,.33644375,.41637334,.40773445,.54684424,.52922201,.85747522,.81916052,125186,129283,99729,41398,122674,128692,91671,36166
1100,Hickory,375363,37,North Carolina,NC,80.653053,81.291702,83.463112,83.849121,85.656769,86.028595,87.619598,87.946266,74.732529,75.398819,79.629761,80.063042,81.290596,81.736122,84.75634,85.145164,.31214041,.30699959,.33658645,.32680309,.39322522,.37879893,.45489848,.43077445,.22982131,.23384665,.28472733,.28024018,.34853753,.34586003,.48585716,.46624914,284972,299912,280917,196422,267425,308291,271392,186541
1201,Franklin,44861,37,North Carolina,NC,83.561501,83.807487,85.580093,85.914268,87.647942,87.886734,87.108231,87.405045,77.229057,77.618393,81.588356,81.993034,83.152962,83.517883,84.615639,84.865379,.68287534,.64952356,.79550397,.75713569,.91396612,.86691135,1.6478074,1.5785296,.59720349,.58643615,.76026797,.73931551,1.1232927,1.0862483,1.201407,1.1662705,42493,37310,28282,17739,39144,35397,23745,14857
1202,Sylva,54082,37,North Carolina,NC,81.079826,81.529572,85.285965,85.635025,86.873329,87.169235,88.025932,88.228859,75.061707,75.514046,80.348862,80.770248,82.367119,82.752068,83.6325,83.897346,.69099015,.66963452,.82967889,.78591162,1.0180578,.96502143,1.3411899,1.2797456,.53285164,.52634329,.73862833,.72005635,.99014884,.95796454,1.2689667,1.2265902,47630,42906,31354,17544,44373,39884,27714,14767
1203,Asheville,398505,37,North Carolina,NC,82.518921,82.978416,85.277122,85.616196,86.161301,86.506325,88.979561,89.19165,76.74987,77.270042,81.331558,81.734612,83.680649,84.038025,85.004143,85.328873,.27330124,.26843029,.3184489,.31111768,.37265313,.35952204,.38675988,.36592188,.24008699,.24590492,.28939149,.28279763,.34829059,.34412524,.43130916,.42219108,320236,323430,289750,197950,293361,292615,256639,172403
1204,Andrews,59681,37,North Carolina,NC,84.087349,84.362396,85.114388,85.462654,87.972664,88.227318,87.903961,88.222916,76.935783,77.367081,80.936195,81.3414,84.142334,84.490021,84.90699,85.274315,.55888039,.53324151,.78542358,.75246692,.76921046,.72948879,1.1937474,1.1267469,.49437508,.4908444,.72259456,.7093966,.81047755,.77655351,1.2124887,1.1642649,63122,51517,37219,23036,56192,48010,31925,19465
1301,Bennettsville,71586,45,South Carolina,SC,81.311798,82.683792,85.201256,85.874863,83.531349,84.35524,87.933037,88.231453,73.466873,75.026215,78.518433,79.25502,80.924591,81.718819,83.195801,83.675919,.61538213,.60382044,.75664979,.722161,1.1777405,1.1277417,1.9508319,1.8824381,.46181831,.48123741,.70609027,.69695652,1.0101862,.98582345,1.4726906,1.4323226,74059,44472,28797,12382,60426,48308,28333,10853
1302,Florence,548986,45,South Carolina,SC,81.755913,82.852371,83.892067,84.548592,85.1567,85.64846,86.638069,86.994995,74.669113,75.934959,79.011055,79.741135,82.160088,82.68779,83.676117,84.106003,.23007816,.24296878,.27610707,.26946005,.32763907,.31607071,.43778488,.41970408,.17693752,.20139585,.23914619,.2401692,.30060887,.29706097,.39462152,.38608238,584868,389315,303839,219654,472395,364911,277671,197916
1400,Fayetteville,644101,37,North Carolina,NC,81.239655,82.080246,83.48983,84.129257,83.833206,84.348579,86.942284,87.288605,74.821144,75.910011,79.137512,79.890862,82.260544,82.826073,84.197701,84.6446,.23725757,.24516638,.30835003,.2999483,.3598156,.35082424,.41492271,.3997705,.18749791,.19964994,.26518634,.2706413,.32359236,.32082993,.41062024,.39912036,518038,394636,333422,221534,415872,382368,320258,200975
1500,Wilmington,361559,37,North Carolina,NC,81.977219,82.822548,84.376411,84.918892,85.25724,85.731583,87.96846,88.269379,75.107056,76.089592,80.312462,80.895599,82.79126,83.266663,85.21981,85.580635,.29798573,.29529142,.35038224,.33971372,.39432198,.38015211,.37870127,.36134797,.24314004,.25560501,.31754568,.31603482,.35444239,.34524781,.42679963,.41505191,307223,263087,243156,211035,252253,240045,228908,190717
